SA2_code,state_name,state_code,sa2_name16,persons_num,median_persons_age,males_num,median_male_age,females_num,median_female_age,percentage_person_aged_0_14,percentage_person_aged_15_64,percentage_person_aged_65_plus,earners_persons,median_age_of_earners_years,gini_coefficient_no,median_aud,mean_aud,income_aud,highest_quartile_pc,income_share_top_5pc,third_quartile_pc,lowest_quartile_pc,income_share_top_1pc,second_quartile_pc,income_share_top_10pc,popfraction,quartile,occup_diversity,bsns_entries,bsns_exits,bsns_growth_rate,bridge_diversity,bridge_rank1,bridge_rank2,bridge_rank3,bridge_rank4,bridge_rank5,time_q1,time_q2,time_q3,time_q4,tot_time,fq1,fq2,fq3,fq4,income_diversity,raw_inequality,inequality,inflow_r1,inflow_r2,inflow_r3,outflow_r1,outflow_r2,outflow_r3,spent_r1,spent_r2,spent_r3,gain_r1,gain_r2,gain_r3,exchanged_r1,exchanged_r2,exchanged_r3
401011001,South Australia,4,Adelaide,16900,29.4,8740,30.9,8160,28.0,0.049,0.851,0.099,8096,34,0.54,38912,56151,454598954,0.262,0.267,0.22,0.276,0.113,0.242,0.385,0.009820129,2,2.943522395,1422,1286,0.050221566,4.67497338,404031107.0,401071023.0,401071024.0,403011057.0,404031108.0,466424095.5,3724162707.0,2009941159.0,2755198625.0,8955726586.0,0.0520811,0.415841492,0.224430831,0.307646577,1.216774489,0.446976137,17.87429818,404031107,401071024,401041016,401011002,404031108,401051017,401051017,401071024,404031107,401031012,401061022.0,401041015.0,401071024.0,401051017.0,404031107.0
401011002,South Australia,4,North Adelaide,7293,36.2,3549,35.9,3744,36.6,0.073,0.725,0.20199999999999999,4132,44,0.56,49933,81267,335793567,0.368,0.312,0.214,0.213,0.11900000000000001,0.20600000000000002,0.434,0.004237763,4,2.577973379,156,160,-0.012658228,4.547755838,404031108.0,401011001.0,404011093.0,404031107.0,401031011.0,104660963.1,235269490.0,398739185.2,1001230537.0,1739900175.0,0.06015343,0.135220108,0.229173599,0.575452863,1.095267945,0.650905726,33.77883859,404011093,401061021,402031036,401011001,401061021,404011093,404011093,401071024,401011001,404011093,401061021.0,402041171.0,404011093.0,401071024.0,401061021.0
401021003,South Australia,4,Adelaide Hills,6941,45.4,3494,45.4,3447,45.4,0.17,0.66,0.171,4058,47,0.47,40098,49275,199958198,0.24600000000000002,0.209,0.24600000000000002,0.259,0.077,0.249,0.316,0.004033226,3,3.316636683,65,75,-0.071428571,4.520121639,401011001.0,401021007.0,401071024.0,404031108.0,402031036.0,30134360.69,48922477.48,789533720.7,50632802.67,919223361.5,0.032782414,0.053221534,0.858913898,0.055082154,0.558468685,1.217827796,77.99329047,401021006,402051054,405011112,402051052,401021006,402051055,401021006,401011001,402051055,407031164,405011110.0,401021006.0,401021006.0,402051055.0,407031164.0
401021004,South Australia,4,Aldgate - Stirling,17981,44.1,8924,44.0,9057,44.2,0.19899999999999998,0.622,0.179,11243,47,0.51,46140,63617,715247830,0.326,0.258,0.22399999999999998,0.23600000000000002,0.10400000000000001,0.214,0.371,0.010448269,4,3.221511888,211,194,0.041975309,4.539514511,407031165.0,401071024.0,401021007.0,403031067.0,404031107.0,59472422.13,87415755.7,171946212.4,2153197331.0,2472031721.0,0.024058114,0.035361907,0.069556637,0.871023342,0.513542848,1.242046684,79.88213004,401021007,401021006,401021005,401011001,401021007,401021005,401051017,401021007,401071023,401021010,401021005.0,401021007.0,401021007.0,401021005.0,401021006.0
401021005,South Australia,4,Hahndorf - Echunga,4580,46.5,2287,45.8,2293,47.2,0.16699999999999998,0.613,0.21899999999999997,2608,48,0.51,40317,52950,138094609,0.266,0.233,0.23,0.263,0.09300000000000001,0.242,0.349,0.002661313,3,3.138585145,58,41,0.171717172,4.444051865,401021007.0,401011001.0,401021004.0,403041083.0,401071024.0,48303988.42,48840325.6,576058963.5,72447712.18,745650989.7,0.064780962,0.065500249,0.772558437,0.097160351,0.781698785,1.045116875,64.52350491,401021004,401021007,401021006,401021007,401021004,401011001,401021007,401021004,401021006,401021004,401021007.0,401021006.0,401021007.0,401021006.0,401021008.0
401021006,South Australia,4,Lobethal - Woodside,9105,43.2,4503,41.9,4602,44.4,0.183,0.634,0.183,5298,45,0.49,41269,52004,275514928,0.23199999999999998,0.242,0.27399999999999997,0.244,0.10800000000000001,0.25,0.34600000000000003,0.005290667,3,3.446155908,103,97,0.03,4.390306963,401021007.0,401021004.0,407031165.0,401011001.0,401071023.0,95999899.7,36685668.48,1269459228.0,70581976.53,1472726773.0,0.065185139,0.02491003,0.861978781,0.04792605,0.543598497,1.223957562,78.47135304,401021004,401021007,401021003,401021007,401011001,401021004,401021007,402051052,404031104,401021003,401021005.0,401021007.0,401021007.0,402051052.0,401031013.0
401021007,South Australia,4,Mount Barker,18072,36.9,8753,35.2,9319,38.7,0.212,0.634,0.154,8518,42,0.43,40153,47144,401568550,0.21899999999999997,0.18,0.271,0.24100000000000002,0.062,0.26899999999999996,0.287,0.010501146,3,3.417093353,174,146,0.0875,4.471005937,401021004.0,401071024.0,407031165.0,401031011.0,401021006.0,213047955.4,72385322.96,3026761329.0,120089035.8,3432283643.0,0.06207178,0.021089552,0.881850582,0.034988086,0.482094004,1.263701164,81.57097061,401021004,401021006,407031165,401011001,401021008,401021004,401071024,401021004,401011001,407011146,401021005.0,401021009.0,407031165.0,401021009.0,401071024.0
401021008,South Australia,4,Mount Barker Region,6427,42.4,3251,42.9,3176,42.0,0.193,0.6759999999999999,0.131,3430,45,0.47,36755,44498,152627220,0.19399999999999998,0.204,0.253,0.265,0.079,0.28800000000000003,0.31,0.003734554,1,3.26875135,69,74,-0.034965035,4.382434703,407031165.0,401021007.0,401021004.0,401011001.0,401021006.0,714375645.2,41779653.18,124787045.4,30429929.24,911372273.1,0.783846148,0.045842577,0.136922144,0.033389132,0.717966876,1.067692295,66.28416988,401021007,407011146,401021004,401021007,407011146,401021005,401011001,401021007,401021004,401021007,403041072.0,401021005.0,407031165.0,407011148.0,407011146.0
401021009,South Australia,4,Nairne,5234,34.8,2544,33.4,2690,36.3,0.225,0.6729999999999999,0.10099999999999999,2491,40,0.41,40559,44928,111914470,0.193,0.165,0.302,0.235,0.055999999999999994,0.27,0.265,0.003041335,3,3.071930207,37,37,0.0,4.412954641,401021007.0,401011001.0,407031165.0,401071024.0,401021004.0,31042452.07,9868082.718,662132836.1,12939294.29,715982665.1,0.04335643,0.013782572,0.924788921,0.018072078,0.339954133,1.349577841,88.26852287,401021007,401021006,401021008,401021007,401011001,401021008,401021007,401011001,401021004,401021007,401021008.0,401021006.0,407031165.0,,
401021010,South Australia,4,Uraidla - Summertown,5545,42.9,2836,42.7,2709,43.1,0.187,0.645,0.168,3250,47,0.51,42034,56884,184871749,0.292,0.239,0.22,0.26,0.09300000000000001,0.228,0.354,0.003222048,4,3.134213431,55,65,-0.083333333,4.419910135,401021004.0,401011001.0,401021007.0,401071024.0,404031108.0,10036575.98,20025199.97,122479086.1,594183477.6,746724339.6,0.013440805,0.026817393,0.164021821,0.795719981,0.633306565,1.091439963,68.13625884,401041016,401021004,401031011,401011001,401021004,401051017,401041016,401021004,401051018,401021007,401071024.0,403031069.0,401041016.0,401051018.0,401051017.0
