"type","title","code"
"division","Agriculture, Forestry and Fishing","A"
"division","Mining","B"
"division","Manufacturing","C"
"division","Electricity, Gas, Water and Waste Services","D"
"division","Construction","E"
"division","Wholesale Trade","F"
"division","Retail Trade","G"
"division","Accommodation and Food Services","H"
"division","Transport, Postal and Warehousing","I"
"division","Information Media and Telecommunications","J"
"division","Financial and Insurance Services","K"
"division","Rental, Hiring and Real Estate Services","L"
"division","Professional, Scientific and Technical Services","M"
"division","Administrative and Support Services","N"
"division","Public Administration and Safety","O"
"division","Education and Training","P"
"division","Health Care and Social Assistance","Q"
"division","Arts and Recreation Services","R"
"division","Other Services","S"
"subdivision","Agriculture","01"
"subdivision","Aquaculture","02"
"subdivision","Forestry and Logging","03"
"subdivision","Fishing, Hunting and Trapping","04"
"subdivision","Agriculture, Forestry and Fishing Support Services","05"
"subdivision","Coal Mining","06"
"subdivision","Oil and Gas Extraction","07"
"subdivision","Metal Ore Mining","08"
"subdivision","Non-Metallic Mineral Mining and Quarrying","09"
"subdivision","Exploration and Other Mining Support Services","10"
"subdivision","Food Product Manufacturing","11"
"subdivision","Beverage and Tobacco Product Manufacturing","12"
"subdivision","Textile, Leather, Clothing and Footwear Manufacturing","13"
"subdivision","Wood Product Manufacturing","14"
"subdivision","Pulp, Paper and Converted Paper Product Manufacturing","15"
"subdivision","Printing (including the Reproduction of Recorded Media)","16"
"subdivision","Petroleum and Coal Product Manufacturing","17"
"subdivision","Basic Chemical and Chemical Product Manufacturing","18"
"subdivision","Polymer Product and Rubber Product Manufacturing","19"
"subdivision","Non-Metallic Mineral Product Manufacturing","20"
"subdivision","Primary Metal and Metal Product Manufacturing","21"
"subdivision","Fabricated Metal Product Manufacturing","22"
"subdivision","Transport Equipment Manufacturing","23"
"subdivision","Machinery and Equipment Manufacturing","24"
"subdivision","Furniture and Other Manufacturing","25"
"subdivision","Electricity Supply","26"
"subdivision","Gas Supply","27"
"subdivision","Water Supply, Sewerage and Drainage Services","28"
"subdivision","Waste Collection, Treatment and Disposal Services","29"
"subdivision","Building Construction","30"
"subdivision","Heavy and Civil Engineering Construction","31"
"subdivision","Construction Services","32"
"subdivision","Basic Material Wholesaling","33"
"subdivision","Machinery and Equipment Wholesaling","34"
"subdivision","Motor Vehicle and Motor Vehicle Parts Wholesaling","35"
"subdivision","Grocery, Liquor and Tobacco Product Wholesaling","36"
"subdivision","Other Goods Wholesaling","37"
"subdivision","Commission-Based Wholesaling","38"
"subdivision","Motor Vehicle and Motor Vehicle Parts Retailing","39"
"subdivision","Fuel Retailing","40"
"subdivision","Food Retailing","41"
"subdivision","Other Store-Based Retailing","42"
"subdivision","Non-Store Retailing and Retail Commission-Based Buying and/or Selling","43"
"subdivision","Accommodation","44"
"subdivision","Food and Beverage Services","45"
"subdivision","Road Transport","46"
"subdivision","Rail Transport","47"
"subdivision","Water Transport","48"
"subdivision","Air and Space Transport","49"
"subdivision","Other Transport","50"
"subdivision","Postal and Courier Pick-up and Delivery Services","51"
"subdivision","Transport Support Services","52"
"subdivision","Warehousing and Storage Services","53"
"subdivision","Publishing (except Internet and Music Publishing)","54"
"subdivision","Motion Picture and Sound Recording Activities","55"
"subdivision","Broadcasting (except Internet)","56"
"subdivision","Internet Publishing and Broadcasting","57"
"subdivision","Telecommunications Services","58"
"subdivision","Internet Service Providers, Web Search Portals and Data Processing Services","59"
"subdivision","Library and Other Information Services","60"
"subdivision","Finance","62"
"subdivision","Insurance and Superannuation Funds","63"
"subdivision","Auxiliary Finance and Insurance Services","64"
"subdivision","Rental and Hiring Services (except Real Estate)","66"
"subdivision","Property Operators and Real Estate Services","67"
"subdivision","Professional, Scientific and Technical Services (Except Computer System Design and Related","69"
"subdivision","Computer System Design and Related Services","70"
"subdivision","Administrative Services","72"
"subdivision","Building Cleaning, Pest Control and Other Support Services","73"
"subdivision","Public Administration","75"
"subdivision","Defence","76"
"subdivision","Public Order, Safety and Regulatory Services","77"
"subdivision","Preschool and School Education","80"
"subdivision","Tertiary Education","81"
"subdivision","Adult, Community and Other Education","82"
"subdivision","Hospitals","84"
"subdivision","Medical and Other Health Care Services","85"
"subdivision","Residential Care Services","86"
"subdivision","Social Assistance Services","87"
"subdivision","Heritage Activities","89"
"subdivision","Creative and Performing Arts Activities","90"
"subdivision","Sports and Recreation Activities","91"
"subdivision","Gambling Activities","92"
"subdivision","Repair and Maintenance","94"
"subdivision","Personal and Other Services","95"
"subdivision","Private Households Employing Staff and Undifferentiated Goods- and Service-Producing Activities of Households for Own Use","96"
"group","Nursery and Floriculture Production","011"
"group","Mushroom and Vegetable Growing","012"
"group","Fruit and Tree Nut Growing","013"
"group","Sheep, Beef Cattle and Grain Farming","014"
"group","Other Crop Growing","015"
"group","Dairy Cattle Farming","016"
"group","Poultry Farming","017"
"group","Deer Farming","018"
"group","Other Livestock Farming","019"
"group","Aquaculture","020"
"group","Forestry and Logging","030"
"group","Fishing","041"
"group","Hunting and Trapping","042"
"group","Forestry Support Services","051"
"group","Agriculture and Fishing Support Services","052"
"group","Coal Mining","060"
"group","Oil and Gas Extraction","070"
"group","Metal Ore Mining","080"
"group","Construction Material Mining","091"
"group","Other Non-Metallic Mineral Mining and Quarrying","099"
"group","Exploration","101"
"group","Other Mining Support Services","109"
