,target_sa2,mcc,avg_spent_index,trx_count_index
1,401011001,Apparel Discount and Department Stores,0.131706516,1
2,401011001,Auto and Transportation,0.04896983,1
3,401011001,Dining Sports and Entertainment,0.104414869,0.925039054
4,401011001,Hardware Supplies and Homewares,0.23539352,0.63600904
5,401011001,Luxury and Speciality Stores,0.117604014,1
6,401011001,Medical and Personal Care,0.057665088,1
7,401011001,Personal Services,0.229330803,1
8,401011001,Professional Services,0.048710792,1
9,401011001,Retail Food Grocery and Supermarkets,0.409697705,1
10,401011001,Trades and Light Manufacturing,0.235252008,0.436547136
11,401011001,Travel Accommodation and Rentals,0.036738239,1
12,401011002,Apparel Discount and Department Stores,0.197059843,0.004751556
13,401011002,Auto and Transportation,0.048657352,0.49774293
14,401011002,Dining Sports and Entertainment,0.070746707,1
15,401011002,Luxury and Speciality Stores,0.07995026,0.146024754
16,401011002,Medical and Personal Care,0.053292536,0.529369552
17,401011002,Personal Services,0.175489656,0.356315881
18,401011002,Retail Food Grocery and Supermarkets,0.364147266,0.614434445
19,401011002,Travel Accommodation and Rentals,0.017254573,0.170601729
20,401021003,Auto and Transportation,0.080005612,0.044823583
21,401021003,Dining Sports and Entertainment,0.029902106,0.188995862
22,401021003,Hardware Supplies and Homewares,0.245102193,0.040102317
23,401021003,Luxury and Speciality Stores,0.029606104,0.034125729
24,401021003,Medical and Personal Care,0.020869203,0.01645125
25,401021003,Personal Services,0.616194707,0.007845609
26,401021003,Professional Services,0.081281054,0.052984086
27,401021003,Retail Food Grocery and Supermarkets,0.263441734,0.119027467
28,401021003,Travel Accommodation and Rentals,0.036345016,0.011344565
29,401021004,Apparel Discount and Department Stores,0.133949118,0.073028026
30,401021004,Auto and Transportation,0.039911409,0.213905911
31,401021004,Dining Sports and Entertainment,0.054130234,0.5198365
32,401021004,Hardware Supplies and Homewares,0.281456981,0.107062973
33,401021004,Luxury and Speciality Stores,0.110629209,0.072890952
34,401021004,Medical and Personal Care,0.060953815,0.142202118
35,401021004,Personal Services,0.287485589,0.055709215
36,401021004,Professional Services,0.093120335,0.057570396
37,401021004,Retail Food Grocery and Supermarkets,0.28890521,0.467186637
38,401021004,Trades and Light Manufacturing,0.198411141,0.347178749
39,401021004,Travel Accommodation and Rentals,0.069905204,0.007844282
40,401021005,Apparel Discount and Department Stores,0.152219858,0.029280068
41,401021005,Auto and Transportation,0.058618888,0.036678339
42,401021005,Dining Sports and Entertainment,0.032083057,0.54409525
43,401021005,Hardware Supplies and Homewares,0.096669663,0.004904642
44,401021005,Luxury and Speciality Stores,0.071067674,0.110631981
45,401021005,Medical and Personal Care,0.034048375,0.06660055
46,401021005,Personal Services,0.378266777,0.022541612
47,401021005,Professional Services,0.028905432,0.014377673
48,401021005,Retail Food Grocery and Supermarkets,0.406710849,0.22274141
49,401021005,Trades and Light Manufacturing,0.375110745,0.026814087
50,401021005,Travel Accommodation and Rentals,0.02130304,0.022702811
51,401021006,Apparel Discount and Department Stores,0.115118133,0.018963187
52,401021006,Auto and Transportation,0.053923053,0.13003083
53,401021006,Dining Sports and Entertainment,0.064213025,0.223293254
54,401021006,Hardware Supplies and Homewares,0.251483719,0.098231725
55,401021006,Luxury and Speciality Stores,0.103773476,0.047592299
56,401021006,Medical and Personal Care,0.031666195,0.05839777
57,401021006,Personal Services,0.378969375,0.042447979
58,401021006,Professional Services,0.113806885,0.019555589
59,401021006,Retail Food Grocery and Supermarkets,0.230329673,0.729594212
60,401021006,Trades and Light Manufacturing,0.085802936,0.132725563
61,401021006,Travel Accommodation and Rentals,0.020930718,0.064656037
62,401021007,Apparel Discount and Department Stores,0.109736761,0.369834957
63,401021007,Auto and Transportation,0.052988297,0.544743653
64,401021007,Dining Sports and Entertainment,0.068289204,0.661945555
65,401021007,Hardware Supplies and Homewares,0.286853915,0.359314913
66,401021007,Luxury and Speciality Stores,0.100171392,0.210230116
67,401021007,Medical and Personal Care,0.045090112,0.105741139
68,401021007,Personal Services,0.271440911,0.048661851
69,401021007,Professional Services,0.069899234,0.157513949
70,401021007,Retail Food Grocery and Supermarkets,0.286449246,0.698149754
71,401021007,Trades and Light Manufacturing,0.119043501,0.389571903
72,401021007,Travel Accommodation and Rentals,0.041553354,0.08163982
73,401021008,Auto and Transportation,0.052694623,0.083974042
74,401021008,Dining Sports and Entertainment,0.068508884,0.078750886
75,401021008,Hardware Supplies and Homewares,0.153358222,0.017847687
76,401021008,Luxury and Speciality Stores,0.136177495,0.021677018
77,401021008,Medical and Personal Care,0.051121298,0.014935402
78,401021008,Personal Services,0,0.027890891
79,401021008,Professional Services,0.072924784,0.042291744
80,401021008,Retail Food Grocery and Supermarkets,0.465534217,0.154538287
81,401021008,Trades and Light Manufacturing,0.163576036,0.066517501
82,401021009,Auto and Transportation,0.033579696,0.024081757
83,401021009,Dining Sports and Entertainment,0.037175014,0.041524903
84,401021009,Luxury and Speciality Stores,0.069330738,0.025049468
85,401021009,Personal Services,0.288809397,0.022661868
86,401021009,Professional Services,0.044823481,0.06275374
87,401021009,Retail Food Grocery and Supermarkets,0.824073941,0.003650413
88,401021010,Dining Sports and Entertainment,0.03281821,0.178923939
89,401021010,Hardware Supplies and Homewares,0.194693358,0.027353143
90,401021010,Luxury and Speciality Stores,0.155066534,0.039244588
91,401021010,Medical and Personal Care,0.034320463,0.022716217
92,401021010,Personal Services,0.269150362,0.012021364
93,401021010,Retail Food Grocery and Supermarkets,1,0
94,401021010,Travel Accommodation and Rentals,0.048770753,0.013203021
95,401031011,Apparel Discount and Department Stores,0.09724207,0.056834787
96,401031011,Auto and Transportation,0.051204176,0.110132075
97,401031011,Dining Sports and Entertainment,0.06604048,0.308163641
98,401031011,Hardware Supplies and Homewares,0.345329319,0.015460472
99,401031011,Luxury and Speciality Stores,0.10785295,0.105658831
100,401031011,Medical and Personal Care,0.06436704,0.184742615
101,401031011,Personal Services,0.328714485,0.068769334
102,401031011,Professional Services,0.052307584,0.097484857
103,401031011,Retail Food Grocery and Supermarkets,0.395411527,0.317321044
104,401031012,Apparel Discount and Department Stores,1,0
105,401031012,Auto and Transportation,0.041386013,0.427847981
106,401031012,Dining Sports and Entertainment,0.062013334,0.496787556
107,401031012,Hardware Supplies and Homewares,0.234259423,0.069333403
108,401031012,Luxury and Speciality Stores,0.08810293,0.165731518
109,401031012,Medical and Personal Care,0.060965969,0.08956672
110,401031012,Personal Services,0.16067321,0.040293754
111,401031012,Professional Services,0.087536362,0.03598489
112,401031012,Retail Food Grocery and Supermarkets,0.367809357,0.626451422
113,401031012,Trades and Light Manufacturing,0,0.005153351
114,401031012,Travel Accommodation and Rentals,0.142968413,0.000948611
115,401031013,Apparel Discount and Department Stores,0.130920706,0.608420171
116,401031013,Auto and Transportation,0.050656269,0.309856126
117,401031013,Dining Sports and Entertainment,0.075718577,0.576229479
118,401031013,Hardware Supplies and Homewares,0.161134645,0.128568163
119,401031013,Luxury and Speciality Stores,0.110092044,0.435286764
120,401031013,Medical and Personal Care,0.048984677,0.783803542
121,401031013,Personal Services,0.248106798,0.263613707
122,401031013,Professional Services,0.047359831,0.145529841
123,401031013,Retail Food Grocery and Supermarkets,0.28469046,0.604913158
124,401031013,Trades and Light Manufacturing,0.202964456,0.109481928
125,401031013,Travel Accommodation and Rentals,0.006554258,0.015738731
126,401041014,Auto and Transportation,0.110948849,0.017953793
127,401041014,Dining Sports and Entertainment,0.033825984,0.024685509
128,401041014,Luxury and Speciality Stores,0.102698744,0.047917507
129,401041014,Medical and Personal Care,0.026520054,0.056121311
130,401041014,Personal Services,0.216041544,0.034459308
131,401041014,Retail Food Grocery and Supermarkets,0.366918992,0.061868705
132,401041015,Apparel Discount and Department Stores,0.105677617,0.189242588
133,401041015,Auto and Transportation,0.06012676,0.16747231
134,401041015,Dining Sports and Entertainment,0.097410805,0.235082004
135,401041015,Hardware Supplies and Homewares,0.267557915,0.079423365
136,401041015,Luxury and Speciality Stores,0.083565684,0.201696572
137,401041015,Medical and Personal Care,0.053622597,0.149329829
138,401041015,Personal Services,0.232271948,0.119322093
139,401041015,Professional Services,0.054074366,0.142832331
140,401041015,Retail Food Grocery and Supermarkets,0.28244915,0.488089597
141,401041015,Trades and Light Manufacturing,0.25100154,0.113647454
142,401041015,Travel Accommodation and Rentals,0.02607959,0.053370761
143,401041016,Apparel Discount and Department Stores,0.138945532,0.015753099
144,401041016,Auto and Transportation,0.058743012,0.240081072
145,401041016,Dining Sports and Entertainment,0.078370542,0.462958033
146,401041016,Hardware Supplies and Homewares,0.225566281,0.247353085
147,401041016,Luxury and Speciality Stores,0.097825708,0.139005328
148,401041016,Medical and Personal Care,0.048886327,0.277744182
149,401041016,Personal Services,0.358970323,0.124758453
150,401041016,Professional Services,0.077641768,0.134723519
151,401041016,Retail Food Grocery and Supermarkets,0.308994634,0.450623198
152,401041016,Trades and Light Manufacturing,0.302021759,0.070932959
153,401041016,Travel Accommodation and Rentals,0.018048506,0.124028586
154,401051017,Apparel Discount and Department Stores,0.149413684,0.261302306
155,401051017,Auto and Transportation,0.056518447,0.309112016
156,401051017,Dining Sports and Entertainment,0.067892609,0.712988376
157,401051017,Hardware Supplies and Homewares,0.211803937,0.504425752
158,401051017,Luxury and Speciality Stores,0.074048257,0.449745852
159,401051017,Medical and Personal Care,0.045902603,0.48475686
160,401051017,Personal Services,0.282763567,0.211837664
161,401051017,Professional Services,0.078545466,0.216224138
162,401051017,Retail Food Grocery and Supermarkets,0.353521963,0.272067512
163,401051017,Trades and Light Manufacturing,0.528750932,0.012722707
164,401051017,Travel Accommodation and Rentals,0.025097036,0.420442107
165,401051018,Apparel Discount and Department Stores,0.110769404,0.524310398
166,401051018,Auto and Transportation,0.048914012,0.152553953
167,401051018,Dining Sports and Entertainment,0.081350706,0.550148191
168,401051018,Hardware Supplies and Homewares,0.217461322,0.233333623
169,401051018,Luxury and Speciality Stores,0.112060553,0.127730745
170,401051018,Medical and Personal Care,0.046661391,0.166237983
171,401051018,Personal Services,0.220138193,0.098059746
172,401051018,Professional Services,0.045088175,0.221830833
173,401051018,Retail Food Grocery and Supermarkets,0.394685855,0.349313892
174,401051018,Trades and Light Manufacturing,0.199803077,0.223057972
175,401051019,Apparel Discount and Department Stores,0.096083266,0.295830798
176,401051019,Auto and Transportation,0.045989237,0.436115023
177,401051019,Dining Sports and Entertainment,0.071421249,0.376887629
178,401051019,Hardware Supplies and Homewares,0.43214855,0.108900405
179,401051019,Luxury and Speciality Stores,0.092616586,0.403395257
180,401051019,Medical and Personal Care,0.057034021,0.33413426
181,401051019,Personal Services,0.266069225,0.144774708
182,401051019,Professional Services,0.081856006,0.050297432
183,401051019,Retail Food Grocery and Supermarkets,0.34285887,0.567624728
184,401051019,Trades and Light Manufacturing,0.220032656,0.342549064
185,401051019,Travel Accommodation and Rentals,0.022110815,0.107026561
186,401061020,Apparel Discount and Department Stores,0.105530559,0.263088296
187,401061020,Auto and Transportation,0.071644376,0.470829369
188,401061020,Dining Sports and Entertainment,0.064962457,0.403456363
189,401061020,Luxury and Speciality Stores,0.124611327,0.054941156
190,401061020,Medical and Personal Care,0.047867501,0.126293779
191,401061020,Personal Services,0.234000869,0.05835068
192,401061020,Professional Services,0.090739133,0.042639109
193,401061020,Retail Food Grocery and Supermarkets,0.524467524,0.044483717
194,401061020,Travel Accommodation and Rentals,0.035440351,0.008792893
195,401061021,Apparel Discount and Department Stores,0.102849096,0.519335839
196,401061021,Auto and Transportation,0.051352746,0.474959083
197,401061021,Dining Sports and Entertainment,0.096233651,0.548345229
198,401061021,Hardware Supplies and Homewares,0.222035185,0.731046237
199,401061021,Luxury and Speciality Stores,0.093438191,0.232147873
200,401061021,Medical and Personal Care,0.058477554,0.152979689
201,401061021,Personal Services,0.299855914,0.213780406
202,401061021,Professional Services,0.024305216,0.072545103
203,401061021,Retail Food Grocery and Supermarkets,0.32331196,0.545699487
204,401061021,Trades and Light Manufacturing,0.171052344,0.278007212
205,401061021,Travel Accommodation and Rentals,0.104238442,0.003684988
206,401061022,Auto and Transportation,0.041465186,0.140543524
207,401061022,Dining Sports and Entertainment,0.074266707,0.283182532
208,401061022,Luxury and Speciality Stores,0.051510026,0.047119269
209,401061022,Medical and Personal Care,0.035139803,0.043690821
210,401061022,Personal Services,0.195727662,0.042321504
211,401061022,Professional Services,0.082862481,0.010312412
212,401061022,Retail Food Grocery and Supermarkets,0.389910228,0.279012402
213,401061022,Travel Accommodation and Rentals,0.031538885,0.104821497
214,401071023,Apparel Discount and Department Stores,0.178113855,0.081930591
215,401071023,Auto and Transportation,0.045955701,0.450936322
216,401071023,Dining Sports and Entertainment,0.097095102,0.622290173
217,401071023,Luxury and Speciality Stores,0.126337903,0.245179424
218,401071023,Medical and Personal Care,0.066827975,0.333973
219,401071023,Personal Services,0.343417012,0.095443161
220,401071023,Professional Services,0.079615292,0.031409435
221,401071023,Retail Food Grocery and Supermarkets,0.241474942,0.607429542
222,401071023,Trades and Light Manufacturing,0.522118144,0.015840901
223,401071023,Travel Accommodation and Rentals,0.03011436,0.037933032
224,401071024,Apparel Discount and Department Stores,0.127005597,0.316517378
225,401071024,Auto and Transportation,0.049049822,0.285437521
226,401071024,Dining Sports and Entertainment,0.100624552,0.501391863
227,401071024,Hardware Supplies and Homewares,0.264399176,0.191301278
228,401071024,Luxury and Speciality Stores,0.106059304,0.185736037
229,401071024,Medical and Personal Care,0.046441715,0.498552688
230,401071024,Personal Services,0.289738028,0.303331066
231,401071024,Professional Services,0.067694554,0.153964308
232,401071024,Retail Food Grocery and Supermarkets,0.475559947,0.587861342
233,401071024,Trades and Light Manufacturing,0.123906523,0.318531831
234,401071024,Travel Accommodation and Rentals,0.019778756,0.249553058
235,402011025,Apparel Discount and Department Stores,0.213162812,0.028390007
236,402011025,Auto and Transportation,0.061755849,0.165253302
237,402011025,Dining Sports and Entertainment,0.105053614,0.045334419
238,402011025,Hardware Supplies and Homewares,0.356838305,0.028160456
239,402011025,Luxury and Speciality Stores,0.059564606,0.043957993
240,402011025,Medical and Personal Care,0.052873876,0.133480618
241,402011025,Personal Services,0.309170873,0.028680843
242,402011025,Professional Services,0.151768483,0.026557174
243,402011025,Retail Food Grocery and Supermarkets,0.171206092,0.123845019
244,402011025,Trades and Light Manufacturing,0.321135844,0.295561929
245,402011025,Travel Accommodation and Rentals,0.030254549,0.008849901
246,402011026,Apparel Discount and Department Stores,0.138810503,0.404109147
247,402011026,Auto and Transportation,0.046928608,0.192020325
248,402011026,Dining Sports and Entertainment,0.094025514,0.45271384
249,402011026,Hardware Supplies and Homewares,0.197438369,0.302707536
250,402011026,Luxury and Speciality Stores,0.08628792,0.236990094
251,402011026,Medical and Personal Care,0.046568763,0.157812126
252,402011026,Personal Services,0.299333334,0.143893529
253,402011026,Professional Services,0.051702972,0.172092443
254,402011026,Retail Food Grocery and Supermarkets,0.369190057,0.4630375
255,402011026,Trades and Light Manufacturing,0.223327604,0.054009021
256,402011026,Travel Accommodation and Rentals,0.027854067,0.102611872
257,402011027,Auto and Transportation,0.041627513,0.036505157
258,402011027,Dining Sports and Entertainment,0.074219549,0.019998982
259,402011027,Hardware Supplies and Homewares,0.098276421,0.034135727
260,402011027,Luxury and Speciality Stores,0.402410701,0.003395679
261,402011027,Personal Services,0.16332666,0.015264105
262,402011027,Professional Services,0.0366121,0.07918304
263,402011027,Retail Food Grocery and Supermarkets,0.029235121,0.066816629
264,402011027,Travel Accommodation and Rentals,0.013544773,0.011789226
265,402021028,Apparel Discount and Department Stores,0.117449677,0.166222288
266,402021028,Auto and Transportation,0.07738328,0.05520306
267,402021028,Dining Sports and Entertainment,0.231084254,0.037952258
268,402021028,Hardware Supplies and Homewares,0.266620277,0.008541889
269,402021028,Luxury and Speciality Stores,0.121760273,0.08212137
270,402021028,Medical and Personal Care,0.040902489,0.053387947
271,402021028,Personal Services,0.210932801,0.063131858
272,402021028,Professional Services,0.047313599,0.157676776
273,402021028,Retail Food Grocery and Supermarkets,0.270593506,0.304757746
274,402021028,Trades and Light Manufacturing,0.337458734,0.023600681
275,402021028,Travel Accommodation and Rentals,0.008898655,0.016306529
276,402021029,Auto and Transportation,0.048914581,0.225139877
277,402021029,Dining Sports and Entertainment,0.04861632,0.068694624
278,402021029,Luxury and Speciality Stores,0.067047594,0.084695582
279,402021029,Personal Services,0.273243221,0.047913367
280,402021029,Retail Food Grocery and Supermarkets,0.51660524,0.092392283
281,402021029,Trades and Light Manufacturing,0.524351115,0.005331873
282,402021030,Apparel Discount and Department Stores,0.100308759,0.523236457
283,402021030,Auto and Transportation,0.053052142,0.373381418
284,402021030,Dining Sports and Entertainment,0.09852536,0.606899414
285,402021030,Hardware Supplies and Homewares,0.31135324,0.146083087
286,402021030,Luxury and Speciality Stores,0.099739441,0.410015564
287,402021030,Medical and Personal Care,0.059979037,0.188569862
288,402021030,Personal Services,0.243649097,0.241824726
289,402021030,Professional Services,0.060538551,0.257224116
290,402021030,Retail Food Grocery and Supermarkets,0.386409461,0.469349155
291,402021030,Trades and Light Manufacturing,0.195660846,0.486438237
292,402021030,Travel Accommodation and Rentals,0.027460841,0.020344966
293,402021031,Apparel Discount and Department Stores,0.110987583,0.052625093
294,402021031,Auto and Transportation,0.048656788,0.163529098
295,402021031,Dining Sports and Entertainment,0.081917182,0.046413064
296,402021031,Luxury and Speciality Stores,0.072929812,0.0366746
297,402021031,Personal Services,0.340096111,0.028367765
298,402021031,Professional Services,0.064929535,0.096909533
299,402021031,Retail Food Grocery and Supermarkets,0.330281773,0.122021882
300,402021032,Apparel Discount and Department Stores,0.098639088,0.026410355
301,402021032,Auto and Transportation,0.044967645,0.133623872
302,402021032,Dining Sports and Entertainment,0.075963039,0.224291637
303,402021032,Hardware Supplies and Homewares,0.281963384,0.425760509
304,402021032,Luxury and Speciality Stores,0.13614299,0.100153524
305,402021032,Medical and Personal Care,0.049980642,0.043000089
306,402021032,Personal Services,0.236128732,0.032473026
307,402021032,Professional Services,0.046948594,0.141844511
308,402021032,Retail Food Grocery and Supermarkets,0.291807934,0.285164714
309,402021032,Trades and Light Manufacturing,0.193689273,0.107958535
310,402021033,Dining Sports and Entertainment,0.028010793,0.029810542
311,402021033,Luxury and Speciality Stores,0.080240695,0.016836908
312,402021033,Personal Services,0.447447419,0.01151339
313,402021033,Retail Food Grocery and Supermarkets,0.161363141,0.015580476
314,402021034,Apparel Discount and Department Stores,0.128835008,0.361307979
315,402021034,Auto and Transportation,0.05263149,0.320245119
316,402021034,Dining Sports and Entertainment,0.110559942,0.310933664
317,402021034,Hardware Supplies and Homewares,0.246764529,0.332430532
318,402021034,Luxury and Speciality Stores,0.104997751,0.297789219
319,402021034,Medical and Personal Care,0.045379844,0.074988779
320,402021034,Personal Services,0.395275549,0.05744462
321,402021034,Professional Services,0.152025403,0.012516011
322,402021034,Retail Food Grocery and Supermarkets,0.372495645,0.341851653
323,402021034,Trades and Light Manufacturing,0.237186326,0.025528724
324,402021034,Travel Accommodation and Rentals,0.017669381,0.056663535
325,402021035,Apparel Discount and Department Stores,0.053312771,0.014229237
326,402021035,Auto and Transportation,0.057109399,0.165755719
327,402021035,Dining Sports and Entertainment,0.072747423,0.15966102
328,402021035,Hardware Supplies and Homewares,0.259091001,0.378007529
329,402021035,Luxury and Speciality Stores,0.087384795,0.060269078
330,402021035,Medical and Personal Care,1,0
331,402021035,Personal Services,0.379781115,0.025697272
332,402021035,Professional Services,0.209420078,0.006312282
333,402021035,Retail Food Grocery and Supermarkets,0.524833765,0.20669739
334,402021035,Travel Accommodation and Rentals,0.2134089,0.00174216
335,402031036,Apparel Discount and Department Stores,0.129398013,0.679503757
336,402031036,Auto and Transportation,0.057444829,0.792916683
337,402031036,Dining Sports and Entertainment,0.077228439,0.761666399
338,402031036,Hardware Supplies and Homewares,0.282952532,0.787323744
339,402031036,Luxury and Speciality Stores,0.101287366,0.95733228
340,402031036,Medical and Personal Care,0.033856396,0.063679049
341,402031036,Personal Services,0.255098436,0.125359729
342,402031036,Professional Services,0.042559774,0.113186861
343,402031036,Retail Food Grocery and Supermarkets,0.444306085,0.691393179
344,402031036,Trades and Light Manufacturing,0.360475734,0.23800626
345,402031036,Travel Accommodation and Rentals,0.027711784,0.0469836
346,402031037,Apparel Discount and Department Stores,0.129032847,0.062865683
347,402031037,Auto and Transportation,0.04723187,0.299883911
348,402031037,Dining Sports and Entertainment,0.078080627,0.492191079
349,402031037,Hardware Supplies and Homewares,0.587098306,0.003657503
350,402031037,Luxury and Speciality Stores,0.090295526,0.25110708
351,402031037,Medical and Personal Care,0.043370987,0.116612779
352,402031037,Personal Services,0.243234525,0.063320534
353,402031037,Professional Services,0.063050279,0.075693103
354,402031037,Retail Food Grocery and Supermarkets,0.349785651,0.551462752
355,402031037,Travel Accommodation and Rentals,0.02447265,0.152997701
356,402031038,Apparel Discount and Department Stores,0.1153236,0.328616337
357,402031038,Auto and Transportation,0.053652508,0.476953526
358,402031038,Dining Sports and Entertainment,0.090863028,0.371979891
359,402031038,Hardware Supplies and Homewares,0.225007113,0.47901421
360,402031038,Luxury and Speciality Stores,0.112755611,0.194926332
361,402031038,Medical and Personal Care,0.042396053,0.233526577
362,402031038,Personal Services,0.306157671,0.132073281
363,402031038,Professional Services,0.050658476,0.10051345
364,402031038,Retail Food Grocery and Supermarkets,0.471364298,0.246324237
365,402031038,Trades and Light Manufacturing,0.294827927,0.331183128
366,402031038,Travel Accommodation and Rentals,0.056939029,0.00341135
367,402041039,Apparel Discount and Department Stores,0.187440096,0.003331371
368,402041039,Auto and Transportation,0.034024397,0.56816123
369,402041039,Dining Sports and Entertainment,1,0
370,402041039,Hardware Supplies and Homewares,0.398504236,0.008093382
371,402041039,Personal Services,0.514354808,0.001076076
372,402041039,Retail Food Grocery and Supermarkets,0.379732194,0.175366749
373,402041039,Travel Accommodation and Rentals,0.128123222,0.002257511
