"","SA2_code","X.1","X","state_name","state_code","sa2_name16","persons_num","median_persons_age","males_num","median_male_age","females_num","median_female_age","percentage_person_aged_0_14","percentage_person_aged_15_64","percentage_person_aged_65_plus","earners_persons","median_age_of_earners_years","gini_coefficient_no","median_aud","mean_aud","income_aud","highest_quartile_pc","income_share_top_5pc","third_quartile_pc","lowest_quartile_pc","income_share_top_1pc","second_quartile_pc","income_share_top_10pc","popfraction","quartile","occup_diversity","bsns_entries","bsns_exits","bsns_growth_rate","bridge_diversity","bridge_rank1","bridge_rank2","bridge_rank3","bridge_rank4","bridge_rank5","time_q1","time_q2","time_q3","time_q4","tot_time","fq1","fq2","fq3","fq4","income_diversity","raw_inequality","inequality","inflow_r1","inflow_r2","inflow_r3","outflow_r1","outflow_r2","outflow_r3","spent_r1","spent_r2","spent_r3","gain_r1","gain_r2","gain_r3","exchanged_r1","exchanged_r2","exchanged_r3"
"1",401011001,1,1,"South Australia",4,"Adelaide",16900,29.4,8740,30.9,8160,28,4.9,85.1,9.9,8096,34,0.54,38912,56151,454598954,26.2,26.7,22,27.6,11.3,24.2,38.5,0.0098201289400362,2,2.94352239505041,1422,1286,0.050221566,4.6749733796442,404031107,401071023,401071024,403011057,404031108,466424095.492163,3724162706.86099,2009941159.33848,2755198624.60743,8955726586.29907,0.0520811003995726,0.415841492141845,0.224430830929273,0.30764657652931,1.21677448907348,0.44697613734231,17.8742981833782,404031107,401071024,401041016,401011002,404031108,401051017,"401051017","401071024","404031107","401031012","401061022","401041015","401071024","401051017","404031107"
"2",401011002,2,2,"South Australia",4,"North Adelaide",7293,36.2,3549,35.9,3744,36.6,7.3,72.5,20.2,4132,44,0.56,49933,81267,335793567,36.8,31.2,21.4,21.3,11.9,20.6,43.4,0.00423776333489255,4,2.57797337903249,156,160,-0.012658228,4.5477558379028,404031108,401011001,404011093,404031107,401031011,104660963.082302,235269490.039471,398739185.194483,1001230537.01963,1739900175.33589,0.0601534298150736,0.135220108242159,0.229173599064387,0.57545286287838,1.09526794517097,0.650905725756761,33.7788385870898,404011093,401061021,402031036,401011001,401061021,404011093,"404011093","401071024","401011001","404011093","401061021","402041171","404011093","401071024","401061021"
"3",401021003,3,3,"South Australia",4,"Adelaide Hills",6941,45.4,3494,45.4,3447,45.4,17,66,17.1,4058,47,0.47,40098,49275,199958198,24.6,20.9,24.6,25.9,7.7,24.9,31.6,0.00403322573803499,3,3.31663668327097,65,75,-0.071428571,4.52012163899801,401011001,401021007,401071024,404031108,402031036,30134360.6891194,48922477.477071,789533720.650259,50632802.6726435,919223361.489093,0.032782413885025,0.0532215340978924,0.858913898109874,0.0550821539072082,0.558468684814033,1.21782779621975,77.9932904748151,401021006,402051054,405011112,402051052,401021006,402051055,"401021006","401011001","402051055","407031164","405011110","401021006","401021006","402051055","407031164"
"4",401021004,4,4,"South Australia",4,"Aldgate - Stirling",17981,44.1,8924,44,9057,44.2,19.9,62.2,17.9,11243,47,0.51,46140,63617,715247830,32.6,25.8,22.4,23.6,10.4,21.4,37.1,0.0104482685485675,4,3.22151188802378,211,194,0.041975309,4.53951451136992,407031165,401071024,401021007,403031067,404031107,59472422.1297283,87415755.698606,171946212.423947,2153197330.83373,2472031721.08601,0.0240581144741949,0.0353619069500461,0.0695566367362017,0.871023341839557,0.513542848491558,1.24204668367911,79.882130035201,401021007,401021006,401021005,401011001,401021007,401021005,"401051017","401021007","401071023","401021010","401021005","401021007","401021007","401021005","401021006"
"5",401021005,5,5,"South Australia",4,"Hahndorf - Echunga",4580,46.5,2287,45.8,2293,47.2,16.7,61.3,21.9,2608,48,0.51,40317,52950,138094609,26.6,23.3,23,26.3,9.3,24.2,34.9,0.00266131305002165,3,3.1385851445203,58,41,0.171717172,4.44405186451247,401021007,401011001,401021004,403041083,401071024,48303988.4224816,48840325.6021506,576058963.46016,72447712.1835769,745650989.668369,0.0647809619939818,0.0655002491499039,0.77255843744855,0.0971603514075644,0.781698784887479,1.0451168748971,64.523504909634,401021004,401021007,401021006,401021007,401021004,401011001,"401021007","401021004","401021006","401021004","401021007","401021006","401021007","401021006","401021008"
"6",401021006,6,6,"South Australia",4,"Lobethal - Woodside",9105,43.2,4503,41.9,4602,44.4,18.3,63.4,18.3,5298,45,0.49,41269,52004,275514928,23.2,24.2,27.4,24.4,10.8,25,34.6,0.0052906671005343,3,3.44615590844917,103,97,0.03,4.39030696283082,401021007,401021004,407031165,401011001,401071023,95999899.7005751,36685668.4794865,1269459228.18246,70581976.5288387,1472726772.89136,0.0651851392041318,0.0249100302613924,0.861978780823118,0.0479260497113578,0.543598497169816,1.22395756164624,78.4713530387071,401021004,401021007,401021003,401021007,401011001,401021004,"401021007","402051052","404031104","401021003","401021005","401021007","401021007","402051052","401031013"
"7",401021007,7,7,"South Australia",4,"Mount Barker",18072,36.9,8753,35.2,9319,38.7,21.2,63.4,15.4,8518,42,0.43,40153,47144,401568550,21.9,18,27.1,24.1,6.2,26.9,28.7,0.0105011461659369,3,3.41709335283337,174,146,0.0875,4.47100593714166,401021004,401071024,407031165,401031011,401021006,213047955.356485,72385322.9582362,3026761328.56811,120089035.791356,3432283642.67419,0.0620717800555939,0.0210895515913244,0.881850582200099,0.0349880861529821,0.482094003801042,1.2637011644002,81.570970611145,401021004,401021006,407031165,401011001,401021008,401021004,"401071024","401021004","401011001","407011146","401021005","401021009","407031165","401021009","401071024"
"8",401021008,8,8,"South Australia",4,"Mount Barker Region",6427,42.4,3251,42.9,3176,42,19.3,67.6,13.1,3430,45,0.47,36755,44498,152627220,19.4,20.4,25.3,26.5,7.9,28.8,31,0.00373455436080548,1,3.2687513504124,69,74,-0.034965035,4.38243470336736,407031165,401021007,401021004,401011001,401021006,714375645.209261,41779653.1778428,124787045.438289,30429929.2354383,911372273.060831,0.783846147535343,0.0458425765329973,0.136922143811983,0.0333891321196768,0.71796687550139,1.06769229507069,66.2841698777398,401021007,407011146,401021004,401021007,407011146,401021005,"401011001","401021007","401021004","401021007","403041072","401021005","407031165","407011148","407011146"
"9",401021009,9,9,"South Australia",4,"Nairne",5234,34.8,2544,33.4,2690,36.3,22.5,67.3,10.1,2491,40,0.41,40559,44928,111914470,19.3,16.5,30.2,23.5,5.6,27,26.5,0.0030413346078195,3,3.07193020732859,37,37,0,4.41295464060825,401021007,401011001,407031165,401071024,401021004,31042452.0735776,9868082.71799952,662132836.068507,12939294.2888595,715982665.148944,0.0433564296799279,0.0137825721184837,0.924788920595955,0.0180720776056328,0.339954132988152,1.34957784119191,88.2685228711655,401021007,401021006,401021008,401021007,401011001,401021008,"401021007","401011001","401021004","401021007","401021008","401021006","407031165",NA,NA
"10",401021010,10,10,"South Australia",4,"Uraidla - Summertown",5545,42.9,2836,42.7,2709,43.1,18.7,64.5,16.8,3250,47,0.51,42034,56884,184871749,29.2,23.9,22,26,9.3,22.8,35.4,0.0032220482232249,4,3.13421343060404,55,65,-0.083333333,4.41991013486679,401021004,401011001,401021007,401071024,404031108,10036575.9818314,20025199.9742439,122479086.057083,594183477.561687,746724339.574845,0.0134408046583105,0.0268173928623318,0.164021821127215,0.795719981352143,0.633306565105927,1.09143996270429,68.1362588379985,401041016,401021004,401031011,401011001,401021004,401051017,"401041016","401021004","401051018","401021007","401071024","403031069","401041016","401051018","401051017"
"11",401031011,11,11,"South Australia",4,"Burnside - Wattle Park",19190,42.7,9233,41.9,9957,43.5,16.9,62.8,20.2,11476,48,0.54,46002,69318,795498949,34.6,27.1,20,24,10.9,21.3,39.2,0.011150785465047,4,3.26821862135922,272,218,0.110204082,4.59232215604329,404031107,401041016,402031037,401071024,402031038,26488710.6635041,69388753.3394779,217437689.744538,1802705584.86309,2116020738.61061,0.012518171575623,0.0327920951214491,0.102757825467868,0.85193190783506,0.537240073220324,1.20386381567012,76.9042347150553,401041016,401031013,401051018,401051017,401011001,401031013,"401051017","401041015","401011001","401031013","401031012","401071024","401051017","401031013","401041015"
"12",401031012,12,12,"South Australia",4,"Glenside - Beaumont",9992,43.4,4756,43.6,5236,43.1,18.1,61.4,20.5,5999,50,0.55,49768,77923,467462738,37.5,28.2,19.7,23.1,10.6,19.7,40.8,0.00580607860170661,4,2.86195845645688,153,146,0.023411371,4.49125137364992,401011001,404031107,401071024,401071023,404031108,22327613.4132969,41977752.0474608,61561857.3869851,1139527899.42584,1265395122.27359,0.0176447759441177,0.0331736319419643,0.048650304006526,0.900531288107392,0.425650510934464,1.30106257621478,84.4848002734554,401071024,401031013,401021004,401031013,401011001,401071024,"401011001","404031107","401051019","401071024","401031011","401021004","401071024","401031013","403031069"
