sa2_code_16,ANZSIC,mean,std,count
401011001.0,11.0,58732.90881580379,57649.69467523027,23.0
401011001.0,13.0,23931.272609449163,20262.149980279068,22.0
401011001.0,14.0,35910.33941328922,39325.67169721936,37.0
401011001.0,24.0,62964.877498940885,56306.91506786067,30.0
401011001.0,25.0,20225.68439394043,8907.805967941826,16.0
401011001.0,30.0,32127.633452849946,24374.647643548677,30.0
401011001.0,32.0,14076.129763370622,16473.28325726055,40.0
401011001.0,33.0,47988.323433430705,38508.41024951673,19.0
401011001.0,34.0,35287.55257455706,29883.932084578522,28.0
401011001.0,36.0,40411.77282995333,33909.76637814198,36.0
401011001.0,37.0,46406.64878005635,36765.239644452595,30.0
401011001.0,41.0,41199.937447194076,28137.298988335293,12.0
401011001.0,42.0,67407.94550473227,54554.8909015584,106.0
401011001.0,51.0,19346.27683297079,10792.275032928119,13.0
401011001.0,52.0,15922.931100736218,15810.91261445896,13.0
401011001.0,64.0,34642.10323998078,31798.36782781014,32.0
401011001.0,66.0,23696.06361617147,16269.970541691402,19.0
401011001.0,69.0,28200.792274991796,27175.13494512427,44.0
401011001.0,72.0,30653.000857396913,24097.587227259228,77.0
401011001.0,82.0,31945.554216030654,33516.455469142704,33.0
401011001.0,85.0,128342.24738167462,142953.5397577452,14.0
401011001.0,87.0,47694.063242284086,64443.73680983052,18.0
401011001.0,90.0,28155.78518384352,39468.76144026528,22.0
401011001.0,94.0,31057.411616451132,24304.725773807862,26.0
401011001.0,95.0,37910.57339901726,23672.59563366927,17.0
401011001.0,1174.0,47824.141905718134,16520.276364718196,12.0
401011001.0,3011.0,27660.59378294479,23205.434010131637,21.0
401011001.0,3232.0,32396.551080394354,29981.802468608632,16.0
401011001.0,3800.0,22591.348813928886,21260.053160364827,26.0
401011001.0,4110.0,88174.71843080723,55442.39560596138,48.0
401011001.0,4129.0,59427.02448483387,45194.70474780623,28.0
401011001.0,4221.0,118511.21346331632,114325.32189846138,14.0
401011001.0,4244.0,67442.37016384494,43058.81720633755,15.0
401011001.0,4251.0,42693.92345514599,36119.260043742,33.0
401011001.0,4271.0,212159.04961413707,146296.37476030315,44.0
401011001.0,4279.0,56474.283677820415,37671.43736724502,33.0
401011001.0,4310.0,33353.99525442112,28231.022394704243,18.0
401011001.0,4400.0,261848.98266093206,288421.3026503496,26.0
401011001.0,4511.0,72185.44675968772,48175.594293036185,295.0
401011001.0,4512.0,60740.01774569503,40110.06890505662,137.0
401011001.0,4520.0,137261.30884872106,117722.17988485558,62.0
401011001.0,4610.0,33197.59319047351,35061.80269867437,14.0
401011001.0,6240.0,38017.37854443129,44494.15373382316,61.0
401011001.0,6419.0,34642.993349484925,30237.956851770312,142.0
401011001.0,6711.0,53285.97353073624,64279.02488586624,39.0
401011001.0,6712.0,34396.47880354012,42606.626846452826,95.0
401011001.0,6720.0,42496.099428463196,44733.710543536916,81.0
401011001.0,6921.0,33867.24319726672,28512.043388200127,55.0
401011001.0,6923.0,46469.08391443979,43826.78931352513,58.0
401011001.0,6924.0,20573.49868615926,19574.4760648133,39.0
401011001.0,6931.0,30690.722355511654,25187.966772474792,301.0
401011001.0,6932.0,46189.36109520906,43968.70403904751,127.0
401011001.0,6940.0,22811.953381361483,16318.473133489033,34.0
401011001.0,6962.0,24756.468704827603,26281.83128333061,134.0
401011001.0,7000.0,35109.143631090396,34720.706691032865,116.0
401011001.0,7291.0,78651.65815264847,65102.0395686353,51.0
401011001.0,7311.0,17276.74372060563,16267.79229494633,11.0
401011001.0,8212.0,32190.382272195788,22963.185564227424,16.0
401011001.0,8511.0,27778.61140442977,28615.904568590715,50.0
401011001.0,8512.0,38345.32632122182,38507.67474444608,56.0
401011001.0,8531.0,38518.207202571844,24537.79300907415,53.0
401011001.0,8533.0,51161.24129628431,28586.19714488216,24.0
401011001.0,8539.0,22892.311490556065,16746.60528493553,78.0
