source_sa2,target_sa2,count,amount,age_bin
401011001,401011001,192,9903,18-29
401011001,401011001,1368,6733,30-39
401011001,401011001,1131,4741,40-49
401011001,401011001,1145,6021,50-59
401011001,401011001,839,3149,60-69
401011001,401011001,146,12152,70-79
401011001,401011001,32,13838,80+
401011001,401011002,610,13389,18-29
401011001,401011002,436,14365,30-39
401011001,401011002,154,9501,40-49
401011001,401011002,243,12839,50-59
401011001,401011002,86,12460,60-69
401011001,401011002,874,6663,70-79
401011001,401021004,1134,4973,18-29
401011001,401021004,1254,8963,30-39
401011001,401021004,85,10652,40-49
401011001,401021004,1334,9146,50-59
401011001,401021004,831,8711,60-69
401011001,401021005,858,1090,18-29
401011001,401021006,848,2598,18-29
401011001,401021007,46,10495,18-29
401011001,401021007,1147,5774,30-39
401011001,401021007,1391,10697,40-49
401011001,401021007,1446,11343,50-59
401011001,401021007,305,5440,60-69
401011001,401021010,585,14588,18-29
401011001,401031011,965,2910,18-29
401011001,401031011,759,6850,30-39
401011001,401031011,1237,9889,50-59
401011001,401031011,765,5494,60-69
401011001,401031011,747,3276,70-79
401011001,401031012,396,13484,18-29
401011001,401031012,345,1004,30-39
401011001,401031012,86,12826,40-49
401011001,401031012,145,14811,50-59
401011001,401031012,1495,12888,60-69
401011001,401031012,1002,8083,70-79
401011001,401031013,767,2275,18-29
401011001,401031013,666,3398,30-39
401011001,401031013,421,1837,40-49
401011001,401031013,878,4795,50-59
401011001,401031013,286,2792,60-69
401011001,401031013,194,454,70-79
401011001,401041015,1103,1895,18-29
401011001,401041015,914,2388,30-39
401011001,401041015,658,2440,50-59
401011001,401041016,1284,4987,18-29
401011001,401041016,1150,9357,30-39
401011001,401041016,589,1487,40-49
401011001,401041016,992,6767,50-59
401011001,401051017,1011,2704,18-29
401011001,401051017,819,4552,30-39
401011001,401051017,530,2322,40-49
401011001,401051017,913,6020,50-59
401011001,401051017,647,3032,60-69
401011001,401051017,53,13182,70-79
401011001,401051017,204,14717,80+
401011001,401051018,65,9742,18-29
401011001,401051018,1458,10068,30-39
401011001,401051018,1089,7986,40-49
401011001,401051018,1231,8173,50-59
401011001,401051018,808,4980,60-69
401011001,401051019,247,12011,18-29
401011001,401051019,47,11594,30-39
401011001,401051019,1511,11991,40-49
401011001,401051019,1427,14015,50-59
401011001,401051019,1411,13206,60-69
401011001,401051019,870,7845,70-79
401011001,401061020,891,4189,18-29
401011001,401061020,914,5120,30-39
401011001,401061020,428,1396,40-49
401011001,401061020,556,3190,50-59
401011001,401061020,508,3661,60-69
401011001,401061021,21,11121,18-29
401011001,401061021,99,11251,30-39
401011001,401061021,889,4444,40-49
401011001,401061021,1245,8714,50-59
401011001,401061021,1158,9500,60-69
401011001,401061022,912,716,18-29
401011001,401061022,942,6546,30-39
401011001,401061022,579,3902,40-49
401011001,401061022,957,3560,50-59
401011001,401071023,412,13592,18-29
401011001,401071023,237,13793,30-39
401011001,401071023,207,13166,40-49
401011001,401071023,50,12883,50-59
401011001,401071023,1158,10904,60-69
401011001,401071023,624,5376,70-79
401011001,401071024,989,5087,18-29
401011001,401071024,708,4025,30-39
401011001,401071024,755,4764,40-49
401011001,401071024,920,7419,50-59
401011001,401071024,675,5538,60-69
401011001,401071024,761,7284,80+
401011001,402011026,784,13506,60-69
401011001,402021030,1145,4812,18-29
401011001,402031036,755,3856,18-29
401011001,402031036,659,5055,30-39
401011001,402031036,96,1251,40-49
401011001,402031036,1290,12730,50-59
401011001,402031036,1195,11340,60-69
401011001,402031036,221,404,70-79
401011001,402031037,1065,14578,18-29
401011001,402031037,782,939,30-39
401011001,402031038,1004,3413,18-29
401011001,402031038,724,4381,30-39
401011001,402031038,679,7790,40-49
401011001,402031038,692,4270,50-59
401011001,402041040,1201,3317,40-49
401011001,402041046,666,14765,18-29
401011001,402041046,520,14523,30-39
401011001,402041171,18,2630,18-29
401011001,402051049,590,695,18-29
401011001,402051049,666,9746,30-39
401011001,402051052,131,10822,18-29
401011001,402051052,1385,8652,30-39
401011001,402051052,759,3621,40-49
401011001,402051052,1023,4919,50-59
401011001,403011056,1019,7381,18-29
401011001,403011056,1174,5339,30-39
401011001,403011056,553,1940,50-59
401011001,403011057,649,12803,18-29
401011001,403011057,1449,8647,30-39
401011001,403011057,88,10861,40-49
401011001,403011057,179,14146,50-59
401011001,403011057,933,6159,60-69
401011001,403021058,1501,9930,18-29
401011001,403021058,1340,8461,30-39
401011001,403021058,1372,10350,40-49
