source_sa2,target_sa2,count,amount,mcc
401011001,401011001,4768,6465,Apparel Discount and Department Stores
401011001,401011001,1494,11828,Auto and Transportation
401011001,401011001,594,7519,Dining Sports and Entertainment
401011001,401011001,676,3536,Hardware Supplies and Homewares
401011001,401011001,3058,4553,Luxury and Speciality Stores
401011001,401011001,4305,12559,Medical and Personal Care
401011001,401011001,729,13237,Personal Services
401011001,401011001,1031,8243,Professional Services
401011001,401011001,6260,6281,Retail Food Grocery and Supermarkets
401011001,401011001,3097,9803,Trades and Light Manufacturing
401011001,401011001,1453,12758,Travel Accommodation and Rentals
401011001,401011002,4152,1114,Auto and Transportation
401011001,401011002,3836,821,Dining Sports and Entertainment
401011001,401011002,3586,3184,Luxury and Speciality Stores
401011001,401011002,4052,13512,Medical and Personal Care
401011001,401011002,4648,7204,Personal Services
401011001,401011002,2751,334,Retail Food Grocery and Supermarkets
401011001,401021004,3674,6017,Auto and Transportation
401011001,401021004,37,8651,Dining Sports and Entertainment
401011001,401021004,425,4627,Medical and Personal Care
401011001,401021004,659,10255,Retail Food Grocery and Supermarkets
401011001,401021005,4279,4986,Dining Sports and Entertainment
401011001,401021005,2822,484,Retail Food Grocery and Supermarkets
401011001,401021006,4780,7353,Retail Food Grocery and Supermarkets
401011001,401021007,4565,4529,Apparel Discount and Department Stores
401011001,401021007,4707,7634,Auto and Transportation
401011001,401021007,5836,2969,Dining Sports and Entertainment
401011001,401021007,2990,10143,Hardware Supplies and Homewares
401011001,401021007,275,10468,Retail Food Grocery and Supermarkets
401011001,401021010,3233,2387,Dining Sports and Entertainment
401011001,401031011,1125,3778,Auto and Transportation
401011001,401031011,5474,7253,Dining Sports and Entertainment
401011001,401031011,6021,10051,Retail Food Grocery and Supermarkets
401011001,401031012,5203,10026,Auto and Transportation
401011001,401031012,464,7546,Dining Sports and Entertainment
401011001,401031012,4764,6907,Luxury and Speciality Stores
401011001,401031012,4341,8582,Retail Food Grocery and Supermarkets
401011001,401031013,3214,5681,Apparel Discount and Department Stores
401011001,401031013,4742,12631,Auto and Transportation
401011001,401031013,3695,14777,Dining Sports and Entertainment
401011001,401031013,900,1434,Luxury and Speciality Stores
401011001,401031013,6021,2844,Medical and Personal Care
401011001,401031013,4663,10232,Personal Services
401011001,401031013,3640,568,Retail Food Grocery and Supermarkets
401011001,401041015,5865,7443,Retail Food Grocery and Supermarkets
401011001,401041016,5353,3172,Dining Sports and Entertainment
401011001,401041016,5112,3473,Retail Food Grocery and Supermarkets
401011001,401051017,1477,14893,Apparel Discount and Department Stores
401011001,401051017,5786,11636,Auto and Transportation
401011001,401051017,4480,2051,Dining Sports and Entertainment
401011001,401051017,1598,14823,Hardware Supplies and Homewares
401011001,401051017,2762,2791,Luxury and Speciality Stores
401011001,401051017,4467,12726,Medical and Personal Care
401011001,401051017,4968,12008,Personal Services
401011001,401051017,1804,11409,Professional Services
401011001,401051017,2968,3425,Retail Food Grocery and Supermarkets
401011001,401051017,480,11672,Travel Accommodation and Rentals
401011001,401051018,654,12788,Apparel Discount and Department Stores
401011001,401051018,6101,5640,Dining Sports and Entertainment
401011001,401051018,3601,5213,Hardware Supplies and Homewares
401011001,401051018,4960,5513,Retail Food Grocery and Supermarkets
401011001,401051019,6145,11385,Apparel Discount and Department Stores
401011001,401051019,5967,10539,Auto and Transportation
401011001,401051019,5752,6471,Dining Sports and Entertainment
401011001,401051019,4001,10195,Luxury and Speciality Stores
401011001,401051019,2025,6352,Medical and Personal Care
401011001,401051019,1632,7118,Personal Services
401011001,401051019,1640,13987,Retail Food Grocery and Supermarkets
401011001,401061020,2234,3903,Apparel Discount and Department Stores
401011001,401061020,4297,7479,Auto and Transportation
401011001,401061020,3831,11785,Dining Sports and Entertainment
401011001,401061021,5725,10555,Apparel Discount and Department Stores
401011001,401061021,4653,7794,Auto and Transportation
401011001,401061021,5994,6912,Dining Sports and Entertainment
401011001,401061021,3680,6455,Hardware Supplies and Homewares
401011001,401061021,1763,14852,Luxury and Speciality Stores
401011001,401061021,5951,8428,Retail Food Grocery and Supermarkets
401011001,401061022,4001,14595,Dining Sports and Entertainment
401011001,401061022,5881,10892,Retail Food Grocery and Supermarkets
401011001,401071023,4440,7942,Auto and Transportation
401011001,401071023,2117,12189,Dining Sports and Entertainment
401011001,401071023,5367,11686,Luxury and Speciality Stores
401011001,401071023,2346,9937,Medical and Personal Care
401011001,401071023,2922,9161,Personal Services
401011001,401071023,2546,700,Retail Food Grocery and Supermarkets
401011001,401071024,2085,2463,Apparel Discount and Department Stores
401011001,401071024,5657,13092,Auto and Transportation
401011001,401071024,2688,14348,Dining Sports and Entertainment
401011001,401071024,3894,7940,Hardware Supplies and Homewares
401011001,401071024,18,11876,Luxury and Speciality Stores
401011001,401071024,6084,1576,Medical and Personal Care
401011001,401071024,5685,13119,Personal Services
401011001,401071024,979,7935,Professional Services
401011001,401071024,6011,11092,Retail Food Grocery and Supermarkets
401011001,401071024,4626,7530,Travel Accommodation and Rentals
